Area ,Price
1690,270000
1510,260000
1020,260000
960,255000
810,255000
1850,254000
880,252500
1220,251000
2163,248000
1360,234950
2000,225000
1430,224500
1020,212000
1160,201500
720,195000
1400,875000
1600,549900
1270,394950
2130,320000
1080,265000
2160,842500
1010,368000
2360,1580000
1690,1350000
2560,1320000
2330,1300000
3490,1260000
3890,1230000
1870,1230000
1560,1200000
3720,1080000
2320,1050000
3110,1030000
1800,1020000
3200,950000
3290,947500
2180,947500
3300,927000
1350,910000
3420,900000
2830,885000
1650,876650
1690,870300
2350,850000
1620,840000
3210,809000
2840,788000
1720,770000
3110,751000
2890,750000
2620,746000
1680,734200
2670,690000
1200,675000
1290,660000
3040,647000
1570,635000
1770,630000
1280,620000
2040,615000
1640,610000
1190,582000
2560,560000
1450,540000
1360,522000
1030,505000
1590,505000
1290,500000
760,499950
870,490000
1190,465000
1390,453246
1160,450000
1480,420000
2200,410000
2160,383000
1300,372500
670,369000
1280,368000
1010,360000
2380,357000
910,350000
1720,341000
1080,339000
1940,335000
1250,330000
960,315275
2180,302000
830,301500
860,300000
1830,270000
1290,265000
770,255000
810,235000
990,225000
1350,211000
720,210000
1460,201000
700,192000
1370,185000
970,156000
1250,110000
4570,2560000
4430,2450000
3250,2450000
3120,1900000
3820,1680000
2000,1550000
3530,1400000
1930,1110000
4400,1050000
3490,975000
2650,870000
2290,860000
3150,819900
2290,799200
2340,780000
2440,777000
1390,771000
3190,757000
1090,717000
2030,700000
3000,675000
1870,675000
1150,665000
3400,660000
2740,651000
2210,650000
1740,645000
1370,635000
1430,628000
1440,625000
1710,620000
870,591000
2710,591000
1070,581000
1190,580000
1180,575000
1530,570000
1440,560000
1200,550000
3440,550000
1680,530000
1690,530000
2450,525000
2360,525000
1010,525000
1240,523000
2790,505000
2040,502000
2130,480000
2260,475000
1270,465000
1700,464000
1390,460000
3360,455000
1040,450000
2450,450000
960,449500
2140,435000
980,415000
810,413000
1090,405000
740,385000
1190,375000
3001,373000
1060,370000
1490,354901
2010,350000
1090,345000
840,330000
1350,322500
1390,319000
1090,289000
1950,287600
1170,287000
1090,285000
1280,273000
1610,267345
1220,245000
1900,239950
650,230000
1250,225000
1950,225000
1040,225000
1100,225000
910,155000
790,90000
2170,1880000
2550,1400000
3110,1220000
4470,1120000
2290,1060000
3810,966000
2510,955000
3320,950000
3100,930000
2190,925000
2580,802000
1700,800000
2470,773000
3030,766950
4490,740000
3430,740000
2700,723000
1360,715000
3200,707000
1930,702500
1830,682000
2470,633100
1680,625000
1760,620000
1420,607500
1159,582500
2240,565000
1830,562000
1110,546000
1360,543000
1600,543000
950,542000
1100,538000
2450,530000
1600,525000
1820,511000
1450,510000
2090,499000
1290,498000
1850,489200
1420,486000
2310,470000
1060,458000
2910,450000
2580,437000
3040,420000
840,405100
860,400000
830,394475
860,385000
1150,372977
980,372220
1340,364000
2100,356000
1363,349950
2120,345000
1970,340000
1050,339950
1000,337500
2220,325000
1840,317000
2010,316000
1050,310000
1480,310000
1220,306000
2110,305495
1590,305000
1260,300000
1250,299000
700,267800
1400,266000
1570,265000
1150,257200
2230,253000
1050,234000
1340,223000
1240,215000
1170,175000
860,160000
700,155000
1100,139000
3550,2100000
3200,1260000
4210,1150000
2000,1090000
2900,1000000
3950,914500
1670,840000
1230,839000
2820,828950
3030,819995
3310,803100
1350,790000
3190,765000
3240,749400
1980,744000
3150,720000
3150,695000
3800,695000
2060,689900
1890,640000
2680,620000
1550,613000
2240,592500
2000,585000
1440,582800
2360,580050
1090,575000
1600,575000
1980,550000
2700,525000
1840,512500
2240,497000
1210,495000
1520,475000
1000,467000
1260,465750
1410,465000
1470,455000
1320,451555
1230,430000
1010,423000
1640,420000
1340,417000
1490,412500
1630,400000
1120,395300
2240,390000
1720,386380
1250,375000
2710,370000
1070,350000
1400,349950
1700,349950
1232,344000
1340,343000
1180,342400
980,340000
2150,335000
2150,316500
880,312500
1220,312000
1010,302000
1220,300000
850,295000
1330,280000
1400,275000
1010,270000
1590,263000
1690,256883
2070,255000
1160,252350
1230,250000
1490,245000
700,240000
1150,225000
1040,217450
1160,215000
1670,204700
980,197500
1090,190000
1150,185000
1060,174950
3940,2000000
3570,1270000
1220,875000
3280,862500
3360,804995
2370,799000
1100,785000
2110,772000
3120,730100
2830,725000
1180,724800
1700,720000
3200,675000
3690,655000
3160,645000
1450,620000
2170,619500
2720,619000
2134,611000
910,605000
1290,605000
1520,565000
2260,551000
1140,540000
1260,523000
2370,522500
1160,500000
1450,490000
1160,490000
2430,480000
1000,451000
1290,446000
1990,445000
1970,445000
2320,437500
2280,433000
1200,430000
2670,425000
1800,408200
2740,400000
940,385000
1860,379950
1290,377500
940,375000
2790,375000
900,370000
1726,363750
700,350000
2440,350000
1980,345000
720,342000
1180,341000
1250,340000
1170,330000
1060,317000
2340,314000
1560,306500
1870,306000
830,282613
1480,275000
1510,254000
1070,252700
950,250000
940,249000
1130,248000
870,245000
1400,245000
1460,239950
1120,239900
720,238000
1050,205000
1000,180000
1010,174500
890,410000
1940,732000
1440,575550
1210,534640
780,488000
2480,415000
1170,352500
1970,297000
3740,2100000
5010,1470000
3410,1410000
1680,1220000
1270,1190000
2430,1000000
2200,924000
1550,885000
2880,869000
2640,850000
2380,818000
3480,810000
2140,762000
2660,755000
3430,749950
1230,700000
1610,690000
1540,640000
2460,611000
3290,602000
1420,592500
1190,588000
2500,575000
1500,572500
2110,565000
1260,560000
2060,530000
1480,525000
1290,524950
1380,518000
1550,487250
1370,485000
1260,485000
2200,485000
980,482500
3370,480000
1350,477000
860,475000
1700,475000
1630,464000
1410,462000
1250,462000
1060,461000
1370,446000
1800,442500
1010,440000
2200,433500
1920,429000
770,413500
2500,411000
2490,390000
1150,386591
1670,373000
830,368000
700,367000
1120,366500
1290,359950
1640,350000
1830,339000
1580,333000
2680,320000
1650,319950
1370,307000
1610,305000
1200,298450
1380,296500
1700,290000
2120,290000
1040,285000
810,285000
1270,280000
1720,280000
1120,256500
1060,251200
1580,247000
1470,241000
910,225000
1610,215000
970,215000
1080,210000
930,141800
950,137000
680,110700
2550,1800000
2600,1740000
1820,1690000
4380,1300000
1450,1280000
2230,1210000
2180,1130000
2390,1100000
1720,978000
2480,953007
2260,925000
1830,879950
3160,860000
1570,792000
2190,785000
1640,772000
1760,765000
1630,760000
1270,755000
2770,749950
3230,730000
1040,710000
1680,700000
2650,699000
2690,675000
1990,675000
2150,639000
3550,625000
2480,620000
1700,619500
1860,615000
2660,599950
2890,598000
860,575000
1190,570000
3050,555000
2830,551000
1540,525000
2040,520000
1820,519900
2670,515000
1020,507500
1210,500000
3200,499950
1250,494000
1010,490000
3280,490000
840,483945
1180,480000
1260,479000
1150,475000
1040,467000
1470,458000
1210,452000
2060,450000
1300,440000
1270,440000
1510,439000
1200,430000
2800,426000
970,423000
1050,415000
1680,415000
1800,409316
2430,405000
1730,396675
1080,395000
1190,390000
1320,387500
960,387000
1490,385000
1700,384000
2800,380000
1380,380000
1150,376000
1590,372500
2220,350000
2800,345600
1240,345000
1060,335000
860,330000
1180,330000
2303,329995
2170,329900
830,329000
1880,326000
1170,325000
1480,320000
1140,315000
790,315000
1092,309000
1220,305000
1090,300000
1060,300000
2860,300000
740,299950
1560,291000
1280,290000
2090,289000
1220,288400
870,271310
790,268500
1570,263000
1990,260000
1490,259900
1320,259000
1160,250000
1500,250000
960,243000
1090,219950
1180,210000
1700,206000
1050,200000
760,194000
950,192500
1140,120750
3745,2700000
3690,1580000
4460,1550000
3360,1510000
2060,1220000
2760,1190000
2680,1130000
1890,1070000
3700,1030000
2170,1000000
4850,975000
1130,970000
3570,950000
1970,895000
3488,815000
2830,744000
2020,720000
3400,712000
3010,700000
2780,700000
1700,691000
1590,668750
1670,655000
1500,635000
2630,625000
2450,619420
2360,600000
2230,600000
2910,589000
2540,567000
2020,556000
1600,556000
2010,542500
1300,540000
1000,540000
1900,535800
920,535000
1510,525000
950,525000
3290,520000
1900,512500
1670,495000
840,475000
850,452000
1070,450000
1220,442000
1150,430000
2550,430000
1860,429000
960,420850
1440,413800
1570,405000
1540,396450
1300,389999
1120,385500
2880,382000
2000,374000
2150,368250
550,360000
1530,360000
980,350000
1050,344500
2220,334990
1800,332500
1250,330000
990,325000
2000,318989
970,300000
2720,299900
790,299800
1870,288400
1320,285000
2030,275000
860,270000
2220,260000
1570,256750
1060,255000
1170,250000
1140,249900
1780,246000
1330,240000
1930,230000
1396,225000
1060,220000
2160,220000
1020,218000
1240,210000
1160,200000
2030,199000
990,195000
1080,195000
1100,189650
1230,175000
1010,150000
5060,2150000
1820,1600000
1090,1180000
2830,1170000
4100,1150000
2100,1080000
3440,1050000
3030,1050000
3860,1050000
4260,1000000
2080,940000
1660,926300
2240,910000
3090,850000
1410,805000
2350,770000
2930,749000
1100,677000
2600,665000
2450,660000
2670,657500
1370,657000
2860,655000
1130,648360
1860,635700
1350,625000
2980,622500
1720,604700
1040,600000
1370,592500
1500,585000
1430,555000
1220,505000
1510,503000
780,494400
1640,492000
1320,482000
3250,480000
1240,475000
1090,432000
1100,432000
1430,431500
2450,430000
1240,430000
1950,408000
1040,400000
590,398000
3140,389950
1250,385000
1060,380000
2420,380000
800,373500
2250,370000
1100,361000
1360,359000
1060,356000
1280,355000
1060,353250
550,353000
2052,349900
1220,348580
1070,337000
1300,330000
3150,330000
1750,324000
1347,321000
1110,320000
798,320000
1070,319950
2320,307000
1400,305000
1040,301350
2040,300000
2760,300000
980,295000
880,275000
1990,273000
840,270000
1550,259000
1720,254500
940,249950
1040,245000
1980,243500
1720,240000
740,235750
910,219900
870,180000
900,180000
1020,180000
1160,168000
820,150000
3060,1610000
1860,1330000
4740,1200000
4380,1050000
2060,980000
3400,950000
1420,945000
1570,902000
4080,900000
4220,799950
3500,788600
2380,782000
2390,735000
2560,675000
1590,670500
1320,665000
1240,662990
1690,661254
1200,648475
940,641000
2600,625000
1230,607000
1000,606000
1410,599000
830,595000
1670,585000
1470,580000
3840,556000
2210,554820
1080,552000
2510,550000
1830,550000
2830,549900
2210,535000
944,530000
820,527550
960,526000
1140,515000
1140,498000
1280,478000
1190,467100
2430,465425
1120,464600
820,462000
1170,460000
1560,449950
1630,445000
1280,440000
2380,439950
1010,433000
1110,416000
1650,410000
2030,404000
1540,402000
2420,399500
2440,388000
1200,383000
800,379000
1320,377691
750,375000
1270,360000
1220,355000
1370,354800
1010,350000
1240,335000
1410,334000
1120,325000
780,306000
1960,300000
1340,300000
1930,275000
1310,258000
1490,255000
1450,244000
1230,235000
1010,235000
1300,225000
960,218000
1350,200000
1300,175000
1700,149000
1080,132500
580,90000
430,80000
4580,2000000
5584,1680000
3670,820000
1010,501000
1740,496700
1370,479000
2460,440500
1340,372000
2670,347000
1260,245000
720,199000
1820,675000
1620,355300
1640,325000
1560,295000
1570,195000
2130,880000
2700,690000
1570,460000
1140,379950
1780,370000
2100,346000
1140,276000
1140,172500
4060,1800000
4590,1710000
2300,1660000
3790,1600000
2400,1570000
3160,1380000
4950,1150000
1750,1100000
1470,1050000
1810,994000
3480,970000
2370,967500
3720,960000
2290,949880
3720,857000
1430,830000
1380,800000
1560,780000
3330,760000
2610,754950
1880,751750
3390,735000
1410,732000
1010,730001
2740,725000
1450,725000
2160,715000
1970,688000
2810,685000
2540,675000
1650,627000
2370,587000
1850,585000
1930,570000
4850,569950
1960,540000
1040,535000
2340,535000
1210,529000
1760,527500
1750,525000
3200,515000
1760,500000
1430,499950
1430,495000
1750,495000
1590,488000
1150,480000
1720,477000
1230,475000
2500,475000
860,468000
1560,465000
1240,460000
1050,457500
2420,455600
1460,455500
2510,450800
2520,450000
1870,445830
1650,438000
1270,435000
920,427000
1350,415000
1130,415000
1310,405000
910,405000
1470,400000
1296,399950
2540,399000
1190,389000
1440,375000
1520,375000
1080,370000
1050,360000
1570,360000
1810,355000
990,345000
1400,344950
1360,330000
1150,329000
1810,326500
880,326100
1780,325000
1320,313000
1630,312900
1255,312000
1050,305000
900,304000
960,295832
3250,293000
1710,292050
1982,283200
1240,282000
920,280000
1320,274950
1030,268000
1000,265000
1658,263900
1630,260000
960,255000
910,244000
1120,200000
1180,160000
4260,2000000
3140,1970000
2140,1400000
2520,1400000
2260,1290000
2530,1210000
1100,1180000
2050,1100000
3150,999000
2070,968000
1800,960000
1840,925000
2300,900000
1450,898000
1280,875000
1410,840500
2100,840000
3420,840000
1300,840000
2510,820000
2000,815000
2580,799000
3130,782000
1140,745000
1080,740000
2920,740000
2810,739000
1720,700000
3390,700000
3150,681716
1700,681000
2190,665000
2990,655000
2000,635000
2740,630000
2180,621138
2510,600000
1150,600000
1010,599000
1650,590000
1110,589000
970,580000
2070,565000
2650,555000
930,550000
1450,544500
1550,537000
1720,535000
2680,515000
870,510250
1020,510000
2798,499950
2360,490000
1980,479900
1400,474800
2150,465000
1840,465000
2230,460000
1100,450000
1610,438750
1270,432500
2390,430000
1350,429000
1080,425000
1250,420000
2250,395000
1660,380000
800,370000
3090,370000
1300,365000
3336,363000
960,355000
2400,355000
1080,345000
740,335000
1720,326000
1050,325000
900,315000
1430,310000
1680,306000
1160,305000
1390,299000
800,285000
990,277000
1430,270000
650,270000
2495,267000
1430,266200
1060,254000
1480,254000
1400,253400
1300,245100
2060,244615
1310,242000
1200,236000
1220,225000
1680,225000
1040,224000
1180,220000
1320,215000
1210,215000
880,210000
850,189000
1390,186950
830,175000
1100,168500
740,157500
720,151000
820,150000
780,135000
1340,124740
5330,3100000
4430,2750000
4270,2450000
3680,1430000
4770,1360000
4140,950000
2770,860000
1960,820000
1890,790000
1450,750500
1290,723000
2390,695000
2920,690000
1440,685000
1520,680000
2620,672500
2620,672000
3310,658000
2930,650880
1320,645000
920,635200
1550,619000
2760,602500
2030,600000
750,595000
2440,565000
1240,550000
1400,540000
1310,535000
1590,529000
2630,525000
1890,525000
1370,510000
1980,503000
1600,485000
1110,475300
2350,472000
1340,452000
1120,450000
2320,449950
1190,445000
1040,436500
1950,412000
1240,405000
960,405000
710,402000
1140,400000
800,400000
1020,400000
1670,400000
1320,395000
910,389000
810,367500
2040,350000
1120,349000
1380,332000
1100,329932
1000,305000
900,302000
820,300000
2080,300000
2290,295000
1090,267500
1180,266500
1120,264950
1470,264000
880,262000
1110,250000
1270,246500
1530,231000
950,230000
1590,210000
1030,155000
1010,145000
900,83000
3350,3710000
3300,2400000
4180,1890000
2850,1390000
2090,1370000
3150,1260000
1500,950000
2860,919204
3060,860000
4290,840000
2780,825500
1730,800000
1460,750000
1560,750000
3090,740000
2060,735000
1770,715000
1490,700000
2310,685000
2210,659000
1440,655000
1210,650000
1890,645500
2670,642000
2560,642000
3550,625000
1170,568000
2000,560000
2720,545000
1950,530000
2620,499431
960,490000
2260,489000
1540,475000
1340,465000
1290,459900
2990,458000
1230,427000
840,425000
1240,425000
1260,425000
1340,415000
940,399000
2910,395000
2120,386000
1220,385000
1860,384950
1200,374000
1150,369000
1490,365250
730,356700
2200,349900
1000,332000
1240,330000
1090,325000
2280,322000
1060,315000
1210,299950
940,280000
1050,260000
1290,249950
630,240000
1560,196440
1090,190000
1220,168000
2460,693000
2675,660000
1760,615000
2550,587000
2080,538888
1960,289950
2540,1600000
2580,1510000
2630,843500
2780,660000
1090,459000
750,250000
1040,243000
3610,1970000
3160,1250000
2230,1040000
2730,1000000
1670,985000
1620,965000
2720,955000
3270,939000
3040,870000
1390,820000
1840,809000
2210,802000
3740,789000
1260,730000
3190,725995
4400,687000
1840,686000
2610,675000
2710,668500
2720,665000
1420,661000
2290,653000
1670,645000
980,635000
960,629000
2150,615000
1990,610000
1590,585083
2220,580000
1310,568500
1860,559900
1810,550000
920,550000
1790,544000
1460,540000
1690,535000
2910,525000
960,500000
1580,492000
1490,472500
950,469000
1290,465500
970,455000
850,455000
1000,440150
1720,440000
1410,439900
1120,439800
2240,432500
990,430000
1240,411000
1490,410000
1330,405000
1330,404000
1405,400000
730,395000
1290,391000
1060,380000
1510,366000
2680,350000
1320,345000
740,342000
1320,327000
1510,320000
1570,316000
960,315000
1140,305000
950,305000
2070,300000
1950,298000
2080,290000
1140,285000
1380,275000
1050,274950
1920,270000
1540,250000
1010,199950
720,155000
2790,1300000
2130,1100000
1300,1100000
4130,1070000
2120,975000
3040,960000
3490,960000
2460,941500
1430,930000
2680,930000
1860,875000
770,850000
2550,847000
1550,835000
2080,830000
1540,785200
2430,770000
2870,720000
1030,718000
2050,713250
1660,712500
1070,710000
2961,695000
1390,689800
2290,660000
2790,654950
2550,650000
2370,640000
1350,613000
1340,613000
1670,605000
1120,605000
2620,600000
1290,600000
2360,590000
3150,580135
3330,575000
3120,575000
1300,571500
2090,562100
1400,560000
1460,550000
2110,548000
1810,545000
1250,530000
2190,503000
830,500000
1110,495000
2670,494995
2600,475000
1800,474900
2020,471000
1200,449500
1130,440000
1680,440000
2120,437000
1110,435000
1970,432000
910,430000
1110,430000
2340,427874
1110,425000
1440,425000
1140,425000
1380,420000
1370,409950
2780,402500
1200,400000
1450,400000
1080,390000
1750,375900
1720,365000
2240,363990
1950,328500
2250,325000
940,320000
1140,320000
2090,315000
1830,312000
770,312000
2481,309000
1170,295000
1580,285000
1480,280000
1590,280000
1410,272500
1970,268000
860,253000
1765,250000
1340,239000
1040,239000
1530,235000
720,235000
1250,235000
940,234000
720,230000
1200,225000
1030,223000
1200,222400
1110,210000
1060,206000
1180,193000
1240,174500
1320,150000
2760,2400000
3810,2010000
2660,1900000
2160,1270000
2540,1130000
1470,1100000
1320,1030000
2440,989000
2770,907500
3790,875000
1610,865000
3190,860000
2700,837500
1810,791000
1670,785000
1630,767450
3400,765000
1130,760500
2730,760000
3370,760000
1540,759600
1650,746000
1540,742000
2770,685000
2560,658588
3290,648000
1600,646000
1690,640000
2910,610000
2150,603500
1600,586500
1650,583000
1290,572000
1400,565000
2070,560000
2740,549000
1660,545000
1050,540000
1570,539000
1820,532000
1430,532000
1540,525000
1540,520000
830,519000
2920,500000
1040,499950
920,489000
2340,485000
1800,470000
910,465000
1420,455000
1170,453500
910,437000
2460,427500
2060,418500
2000,415000
1040,411715
1530,400000
1130,400000
1190,399950
2150,392500
1250,390000
1240,390000
1100,375000
820,375000
1420,371000
1250,365000
2310,364950
950,355000
2190,340000
1600,335000
1070,327500
1650,327500
1210,324950
1130,320000
1010,317000
1110,310000
560,299000
1730,292000
1670,289950
2437,285000
960,280000
1000,275000
770,275000
1550,270000
950,261000
1710,250500
2120,250000
990,240500
1770,229500
1150,219950
920,212500
2060,200000
1750,190000
670,175000
1500,170000
1220,161700
790,135000
650,129000
1170,119500
3390,1800000
4670,1420000
2782,1300000
2020,1160000
4070,1080000
4100,955000
1480,886000
2500,875000
2320,875000
2500,799000
3590,798000
1700,795000
3110,749950
2670,749000
1530,725000
1080,700000
2050,700000
3000,685000
1610,653000
1290,647500
1170,640000
2500,630000
1460,620000
1660,619000
1230,610000
1370,605004
1280,584000
1360,565000
1090,564000
2260,560000
1420,555000
2700,550000
1480,547000
970,546000
1700,545000
1330,540000
2210,530000
2760,530000
1300,529999
2370,499950
2520,499500
1360,499000
1450,495000
2070,492000
1480,466800
950,466500
1050,465000
1640,463000
1670,456000
1300,453500
1250,450000
2170,449950
2340,445000
1050,440000
2440,425000
2658,411605
1460,395000
1160,395000
1463,390000
1330,386000
1210,385000
2420,376000
960,375000
800,372500
2390,359800
920,356000
2600,355500
2070,343000
2610,335000
1170,335000
1660,324500
2192,310000
1560,299950
1910,297500
1490,292000
1680,289000
1350,279950
2068,276000
1140,275000
1090,270000
1500,270000
1020,269000
2100,268500
1800,257000
1610,255000
1030,250000
1150,240000
1130,237000
830,229000
1150,214100
1370,210000
1010,189000
1150,165000
4280,1600000
1930,1370000
3180,1300000
2370,1280000
1130,1150000
2250,1120000
2430,1040000
4150,969990
1710,920000
3240,895000
3010,879950
3030,837219
2280,835000
2230,809950
2300,805000
2670,744000
1800,739000
2050,735000
2550,715000
1820,680000
1140,660000
2840,650000
2560,600000
1680,595000
2630,589500
2430,585000
2400,570000
1640,550000
2040,545000
3080,539500
1780,539000
1730,535500
1240,525000
1480,510000
1320,510000
1720,500000
890,475000
1720,471000
2070,465000
1170,455000
1250,455000
990,452000
1480,450000
1470,445000
2720,435000
1260,435000
980,435000
1070,432000
1340,415000
1880,407193
1140,405000
1350,402000
930,389250
1560,387500
1550,385200
1020,360000
1370,320000
1150,315000
2680,300000
1300,294700
780,285000
2690,279000
1900,270000
810,253500
1380,200000
920,185000
1210,160000
2040,611000
2460,568500
1730,490000
3070,462000
3150,2700000
2370,684680
2300,567500
1780,540000
2090,540000
2470,530000
2450,510000
1300,455000
960,445000
1811,260000
4130,1900000
2110,1640000
3300,1350000
3260,1340000
2740,1230000
1730,1150000
4060,1020000
2230,980000
3160,965000
1580,852500
1630,831000
1370,750000
2610,743700
2800,739000
3150,700000
2350,649950
2380,648000
2140,640000
2030,627000
1390,625000
2590,620000
3190,609900
2670,605000
2630,600000
2440,599950
2470,585000
1870,579000
1070,568000
2800,563500
1140,559000
1760,554000
1380,552000
2260,550000
1440,550000
1380,550000
1530,546000
1240,539950
1900,536000
2470,525000
1300,502000
2240,500000
1240,489000
2220,480000
1980,475000
2330,471000
1110,450000
2170,442500
1120,440000
1230,435000
800,435000
780,428000
910,425000
920,417000
910,410000
1960,410000
710,403950
1140,400000
2370,400000
1240,398000
2700,390000
1230,385000
2020,379000
730,378500
1710,368000
2190,367300
1800,365000
2500,364900
960,352750
1240,347000
1210,345000
1120,345000
1500,341000
1440,328000
1350,325000
1150,315000
1980,307550
1590,305100
740,304700
2390,290000
1200,288350
1680,285000
1610,280000
1270,270000
1000,265000
1200,255000
2210,250250
1510,250000
1910,240000
1330,236000
1590,235000
1330,234999
1300,229950
1150,213400
1480,213000
1030,212500
4010,1800000
2620,1250000
2460,1240000
3040,1230000
2470,1180000
2230,1070000
2480,1060000
3760,1030000
2930,915000
2580,899900
1610,895000
2470,870000
1620,800000
2150,750000
1580,749000
3490,745000
3000,740000
1990,710000
1160,700000
